commentaire,rating,source
"Enjoy the range/variety of options for purchase. Great prices, and free shipping is awesome.",5,Google Play
almost everything is on Amazon lol 🤷🏽‍♂️ it's true.,5,Google Play
slow and crashes. you're better off using the website.,3,Google Play
So super easy to get what I need! as a disabled lady who cant get far or often I have very rarely in thousand of orders been disapointed and always rectified fast if any issues . retail therepy at its finest ! With so many choices and even the essentials range you cant go wrong with finding a great product for what you need.,5,Google Play
Keeps crashing!,2,Google Play
the app does not work with the Samsung galaxy Tab A11+ and is missing from the UK play store,1,Google Play
Why is it so incredibly hard to find my digital rewards balance for choosing Amazon day delivery?,1,Google Play
cheap items are really expensive here a 240k laptop on Amazon is 300k,2,Google Play
"I'm trying to talk to customer service about an item, but if I go into customer service, it just is a continual loop bringing me back to the customer service page. it won't let me talk to anyone. Amazon is garbage.",1,Google Play
fabulous,5,Google Play
"really bad experience, I had prime and everything works great, but they are only trying to get extra money out of prime plus what they get from the sells, I purchased 2 items in one transaction Feb 13th 2026 1st arrived Feb Feb 22nd the other one hasn't even shipped yet. and it is 5:15 pm on Feb 24th? man, stuff from China stores arrives way faster and you can see their strategy, ""pay prime, we'll ship right away, no prime forget about it"". Amazon sucks.",1,Google Play
tried to order something and got my account locked even after I did what it asked to reactivate my account. now I cant even make a new account...,1,Google Play
Cannot get thru the stupid new AI return que. No option to type in responses. Or get all the way through a return How irritating!! And for 6 months reading reviews has not worked. It's always jumping back to the beginning.,1,Google Play
Perfect,5,Google Play
amazon is not the same u order and they send it whenever they want,1,Google Play
"They use to be great but they have gotten worse and worse on deliveries, one second its being delivered today, next it's says tomorrow, then it says a week from today and you now have to got through the refund process and try to find what you needed in a timely manner. That's not happening here anymore at all!",2,Google Play
worse service,1,Google Play
app has a bug keep closing.,1,Google Play
This app keeps signing me up for Amazon Prime. 🤬🤬🤬,1,Google Play
I want to cancel my order,1,Google Play
I have been with Amazon since 2020 and order almost daily.No other retail company can match their prices and service.,5,Google Play
no problems,5,Google Play
"Latest update is AWFUL, as usual for any Amazon operated app. Horrible user interface that moves at a snails pace. So slow it's now rendered completely unusable. Doesn't really matter though, because the search results are now so completely irrelevant to what you searched and so cluttered with useless added garbage you won't be bothered to click on anything anyway. Time to send these robot clowns back to whatever mail room they came from and hire someone actually qualified to design apps.",1,Google Play
it works as it should.,5,Google Play
Almost impossible to get live help. terrible customer service. They put you in AI hell and hide live help very effectively. Terrible business practice.,1,Google Play
so futerated as I went pick up packages I had sent to drop off location to avoid theft and app will not work now on my tablet/ cell so now can't get my packages. really need to fix this issue as they will lose my business till they do as well expect some kind of credit for major inconvenience of having to shop some where else now and paid for prime I can't even use as I can't pick up packages now as app will not down load to my tablet 😑.,1,Google Play
awesome,5,Google Play
great to do shopping,2,Google Play
my go to spot,5,Google Play
I really enjoyed this app it's a convenience to have it.,5,Google Play
Amazon the best ever 🥰,5,Google Play
laggy. takes ages to load or won't load at all. terrible and slow,1,Google Play
Great not bad as Ebay,4,Google Play
good,5,Google Play
totally awesome,5,Google Play
"very poor service, didn't deserve 1 star",1,Google Play
love it,5,Google Play
"I dont know what's going on, but 2 of my orders, different times. Have not been delivered and tracking stops. I have the option to cancel so it says. I do then NOTHING, NOT MY MONEY BACK, not any other follow up. Sus Sus!",2,Google Play
"2 day shipping doesn't exist. It will say that it will be delivered in two days. But the day it's supposed to be delivered, you will get a notification late that day, saying that it won't be delivered till the next day. And then the same will happen the next day. Also, apparently, now, when your package shows delivered, well, you know, they say it can show delivered forty eight hours before it is actually delivered. How is that legal? I have no idea, but I'm done.",1,Google Play
"I was about to shop for a 430 EUR item on Amazon, everything went smoothly, but after they asked for account verification and I completed the process, they debited the cash from my account and then canceled the order. They're saying the cash will come back in 3-5 days. Is this right? It makes me really annoyed to deal with them like this.😌",1,Google Play
I get my orders delivered to the hub locker read supermarket I can't scan my phone I have to call customer service for the code to get my orders please fix,1,Google Play
"Pick Noon, they honor their delivery dates. While amazon used to focus on reliability in the delivery times, this is long past. Out of 10 orders i made during the last month 9 of them were delayed by more than 3 days and im a prime member. The issues comes from the third party services they use like (Aramex, etc). Once these companies take the order they dont have to deliver it on the agreed date, they deliver based on the schedule of the delivery person, you dont matter.",1,Google Play
very nice,4,Google Play
انا طلبت أوردر وجاي ناقص والخامه رديئه جدا عكس الصوره تماما,1,Google Play
Amazon's mobile app is so slow and laggy these days that it's almost unusable. Opening a browser page is faster so I'm considering dumping the app in favor of that.,1,Google Play
we all have the needs to be to be shopping on Amazon.. who don't use it if didn't you will.,4,Google Play
best application forever,5,Google Play
"Always on Time, Product guarante what you see what you get...",5,Google Play
Its been glitch lately. Unable to use the app.,1,Google Play
"for some reason.. my Amazon app set its code to ""Amazon.ae"" instead of "".ca"" ... I Uninstalled the app.. re-download it from the play store... and it went back to Canada.",4,Google Play
"Join Prime and if you place your order in the next 4 hours, it will arrive today, LIES! I paid for prime and placed my order and all of a sudden it's tomorrow and the next day on the same order. These tactics are deceptive to get you to join a membership and then cannot follow through with the promises... I will never get prime again.",1,Google Play
"pixel 9, new sign in notification page's ""x"" is hidden in the top left under the notification bar area, inaccessible causing it to reappear with every open of the app",3,Google Play
my package never showed uup,2,Google Play
keeps crashing every time i search for an item,1,Google Play
went to cancel my order because I found an item cheaper elsewhere. they sent email saying they couldn't cancel my order. 1 min later I got email my items shipped. there's you a life hack to get Amazon to ship your stuff faster I guess. my order was 26 dollars. so in punishment I'll pause my prime membership for 2 months. I will get my money back one way or another. as my stuff is non returnable. and 2 months I won't buy anything else as well. they just didn't want to cancel it.,1,Google Play
it's 2025 and the largest retailer on the planet doesn't have dark mode on their app. I'd like to order gifts at 3 a.m. without blinding myself and waking up half the county,1,Google Play
simply the best.,5,Google Play
is a great shopping online app,5,Google Play
Great service and excellent delivery time.,5,Google Play
dont bother with prime says delivery next day then you get message for delay and say will arrive two days time so standard delivery,1,Google Play
New update is hard to navigate. Lots of scrolling left/right to find what you're looking for.,2,Google Play
Where is dark mode? I can't find it anywhere. Why do I need to wear sunblock when I check the status of my order at night? Where is the search function for comments? Not there. What're we waiting for???,1,Google Play
will change when they add a dark mode. and also when they drop the price of prime. great app otherwise.,1,Google Play
UPDATE: WELL IT'S 2026 AND YET AGAIN THE APP KEEPS CLOSING SAYING THERE'S A DEVELOPER ISSUE! 2021: Not working again ugh,5,Google Play
my Amazon USA switched to Amazon sa and now it won't go back. how do I fix this?,1,Google Play
Just GREAT and jandy,5,Google Play
"Go back to using the postal service for God's sake, seriously every order I've made has ended up arriving one to two days late. It feels like paying for prime is worthless at this point.",2,Google Play
cannot view in dark mode,3,Google Play
"I've been trying to talk to an agent for 1 hour and 19 minutes, Everytime I get close to talking to someone I get an error 'ooops something went wrong' or it just takes me back home so I can start all over again. I have lost my patience with you. It is so wrong to treat your customers like this. I will be taking my business elsewhere.",1,Google Play
good,5,Google Play
"Terrible Service. Do not sign up for Prime. It has become greatly devalued. They failed the same item I ordered 3 times in a week and lied they were going to watch it very closely. You no longer get items in two days for Prime. I just placed an order today July 14th, and it will not be here until July 24th. Buh-bye Amazon, this is what happens when a company gets too big and loses its great customer service. As soon as my membership is up I'm moving on. You can't use Covid 19 as an excuse.",1,Google Play
the app is very slow and lags quite often on android devices. the service provided is good but app needs a few updates,4,Google Play
Using this application makes shopping easy...save time and the items sold are also of very good quality,5,Google Play
worst customer care service.. bad,1,Google Play
"delivery times are often incorrect, NEVER rely on the delivery time if you need something quickly",3,Google Play
amazing 🤩😍,4,Google Play
"Decent shopping experience but: 1. Very different shipping prices for different items and very often impossible to have combined shipping. 2. No special Amazon Prime perks for smaller EU countries such as Malta. Either independently or by using a different region such as Amazon.de. 3. Doesn't have enough interesting clothing. Most of it is bland and boring. Unless you are looking for something very specific such as climbing shoes, it is bot worth it.",3,Google Play
as of yesterday it keeps kicking me out bc there is a bug wish they would hurry up and fix the problem,3,Google Play
so easy to buy everything and anything Prime is a must,5,Google Play
"I’ve been using the Amazon app for a while now and it’s always a smooth experience. It is very easy to find what I need, and the tracking updates are always accurate. It makes shopping much less stressful",5,Google Play
Every time I try to pick up my order from a pickup location (that requires Bluetooth to access) the app won't load. I've tried for several days and now my order is being taken back and refunded a second time. The AI assistant is no help and there's no way to request an extension. The unreliability of the app is enough for me to quit using Amazon altogether.,1,Google Play
always neat things to find,5,Google Play
I lv this,5,Google Play
very professional 😄,5,Google Play
exellent,5,Google Play
"Horrible search feature. I typed in ""Garmin watch"", only 4 out of the first 10 results were Garmin.",1,Google Play
no longer compatible with my tablet. can you fix this please.,1,Google Play
This service has become terrible because their drivers cannot follow the directions of an electronic/digital map that takes you directly to the exact GPS coordinates. AND will even show you a satellite photo of the location. So frustrating to get pictures of unknown front porches with your packages sitting out in the rain 🙄 With all of the trillions this company makes you would think that they could train these drivers how to deliver a box 🤨,1,Google Play
This app constantly crashes. Immediately as soon as I search for an item it closes out. I can't do anything with it and its super frustrating.,1,Google Play
"I ordered an item 5 days ago that was expected in two days for a job I'm doing, I told my client I would finish that job in 4 days. now I'm looking for that item elsewhere because it still has arrived and my client is pressuring me to finish that job.",1,Google Play
"I can't get HALF the stuff I used to be able to, since we can't archive our orders! Call me horrible- I know I'm not the only one that buys things without my husband knowing sometimes. I USED to love ordering things on Amazon but since I can't archive orders anymore, my purchases can be seen by my husband & daughter, so that screwed me! Now I have to shop elsewhere. The little shopping I still do on here just became INCREDIBLY annoying with the new update! Don't think I'll be needing this app.",2,Google Play
quality items and is always on time,5,Google Play
Amazon fire showing inappropriate ads to my children on child locked accounts??,1,Google Play
app works fine but I am going to use it a lot less because of not being able to switch it to dark mode. I will stick with my browser.,3,Google Play
app keeps crashing. phone reports it has a bug and needs developer to fix....please fix,1,Google Play
Thanks so much 😊😊😊😊,5,Google Play
best quality products,5,Google Play
No longer worth it. Went from overnight deliveries to 2 days to now 4 days for a delivery. This has been happening over the course of months and is not isolated to just one product. I had to make the switch to Walmart.,2,Google Play
"Dear Amazon, I dont pay for prime so my orders can be delivered by our sorry local post office and you make sure theres nowhere on the app to complain about it.",2,Google Play
please please add dark mode 🙏🙏🙏,3,Google Play
super fast delivery.,4,Google Play
cant even make a purchase without it canceling the order and customer support doesnt tell me anything,1,Google Play
I like it,5,Google Play
Always absolutely professional being able to order and receive from Amazon so guickly and easily with out leaving my home.,4,Google Play
I love the convenience. Keep an eye on prices.,5,Google Play
👍👍👍,5,Google Play
Great job!,5,Google Play
I never get my package stolen when using eBay or Walmart to get my package but when using Amazon it always does,1,Google Play
so convenient,5,Google Play
This was first delivery at this location and it was great.I had never tried sending to a new location but it was good.,4,Google Play
LET ME CANCEL MY SUBSCRIPTION!!!,1,Google Play
"For the love of God stop replacing everything with pictures and toddler like layouts, use words like a literate human. Put scroll bars back on the sides so we can actually scroll down the page when we want to. Get rid of all the stupid side scrolling items that get in the way of page navigation. Make an option in app notifications to separate advertising notifications and delivery notifications. Let us turn off e-mail notifications. Stop making subscriptions the default for every single thing.",1,Google Play
the app keeps defaulting my delivery address to the wrong place. fix this now.,1,Google Play
need to see human amazon wigs,5,Google Play
"The ""preview"" feature Amazon keeps trying to force on us is annoying and makes scrolling through search results needlessly frustrating. We don't want it. Stop.",1,Google Play
MUY MALA EXPERIENCIA YA QUIEREN ENTREGAR LOS PRODUCTOS DESPUÉS DE 3 SEMANAS APARTE QUE SIEMPRE POR CADA COMPRA QUE HAGO CON LA TARJETA SIEMPRE ME DESCUENTA 20 PESOS QUE PARA VERIFICAR SI TENGO DINERO QUE SEGÚN ESE CARGO LO REGRESAN CUÁNDO NO ES CIERTO IMAGÍNENSE SEGÚN ELLOS ENVÍO GRATIS PERO POR CADA COMPRA QUE HACES SE VAN DE 20 EN 20 EN 20 EN 20. PUES NO PINCHE SINVERGÜENZAS ESTAFADORES. ABUSIVOS!!!!,1,Google Play
"It keeps glitching and closing out... not properly searching, or allowing me to order items. Take my money, charge me extra for groceries, books, and movies/ shows but still... overall... don't work... sounds fair (sarcastic for those who are unable to comprehend)",1,Google Play
"pathetic customer service,just requested to delete my account but taking ages to do that simple task",2,Google Play
whoever decided to put the add to order on the page below the add to shopping cart is dumb. you're confusing a lot of people that may not want that item shipped right away.,1,Google Play
"Apparently, it's literally impossible for me to do business with Amazon. My card doesn't give me trouble with anyone else. I tried signing up for an Amazon card to get around this (which is absurd enough to have to do by itself), got approved, but Amazon wants me to tap the physical card to the phone. I selected digital only on sign up, there is no physical card. I shouldn't have siged up to begin with. Edit: they have locked my account.",1,Google Play
"fast. convenient. easy. may be minor issues but overall great service, delivery and customer service.",4,Google Play
"It suck, not good would not except my gift card.It was a debit cards, money upfront, still wouldn't let me use it.",1,Google Play
So apparently it was a while ago but I had a $25 Amazon Gift card and ordered this Lulu necklace and my payment never went through and I need a refund because I told customer support and nothing happened after that so apparently it got scammed,3,Google Play
SO Much Delivery cant reach And I Dont Get My Refund! Definitely a 1,1,Google Play
just deleted this app. they want me to tap my card to verify the payment.. nahh I don't need useless junk that bad,1,Google Play
Very satisfied,5,Google Play
the orders are very glitchy you click on a order and it takes you to a opposite order you did not click on to see very glitchy app,1,Google Play
Everything is great!,5,Google Play
It keeps closing due to a bug.,1,Google Play
Beware Amazon is not what they were. Shipping is very slow and customer service is garbage. I keep getting charged for a package that Amazon lost. I have to call them. Which you have to Google to find. I wade through there AI for half an hour to finally get to a live person. Get my refund then a few weeks later they go and charge me again for the same lost package. I am on my third refund for the same package and they say there is nothing they can do. I am done with them.,1,Google Play
"New update, now can no longer open details of items or look at individual items . can't see the pics, everything is a summary on one page . this will stop me from ordering , and I only shop amazon .",1,Google Play
"Amazon sells practically everything, so convenient, saves gas money, shipping fees and great customer support. Amazon is always the first place I search with the option of selecting lowest prices first and other filters.",5,Google Play
Okay for ordering and tracking orders but very limited beyond that - can't buy Kindle books and does not allow management of subscriptions. Poor. Come on Amazon sort it out!,1,Google Play
best*more...*,5,Google Play
AI and China are ruining Amazon experience,2,Google Play
Super-convenient.,5,Google Play
"my hand Cross my heart this is the last time i will ever use this App in Canada or anywhere reasons items didn't arrive after 3 months and once i called to get some info the cancel my item without my permission Bought the same item twice by mistake, after 30 seconds i called them to cancel 1 of the to orders they told me to wait 48 and they didn't expect my refund therefore AMAZON is no longer my first or second or last option.",1,Google Play
I don't like that they added the fresh cart. its completely seperate from the regular cart. I didn't realize that something I bought even went into that cart. I thought I ordered all my stuff. nope I did not.,3,Google Play
great app,5,Google Play
"The app is nice and easy to use, however, what good is it, and why should I have to upgrade my devices now that I can't afford it just because I have a reliable tablet that works well but happens to be older. So I think that we will just be going back to old style. Thank you.",1,Google Play
"Not compatible with my Galaxy A9 tablet; I'm disappointed that Amazon have taken the decision to end support for tablets. Whilst a phone is convenient, a tablet offers a better viewing experience.",1,Google Play
"This app used to work on my tablet, android 13, .become corrupted, I deleted the app, now it is not available. Amazon get your act together.😡Deleted",1,Google Play
"Has a bug, now unusable, please fix!",1,Google Play
great stuff at fab prices,5,Google Play
"billion dollar company app experience - horrible UI lag, absolutely nothing about navigation is snappy. trying to browse or view different product options feels like being back on dial-up to the point it's not even worth browsing after 5 minutes. navigation requires far too many click thrus and no efficient way to return to a previous page. what do UI/UX people even do? 🤷‍♀️",1,Google Play
"App crashes every single time I make a search. Forced stop on app, cleared cache, still crashes.",1,Google Play
bug on app that closes it within 10 seconds of opening. pls fix asap,1,Google Play
Easy process.,5,Google Play
the new ai experience is is seriously lacking in the returns option. asks a question and then you can't type your reply no reply box. recently bought a new pair of shoes that some one wore in the mud...,1,Google Play
greatest thing ever so easy and so much fun to use,5,Google Play
"Amazon should be called, creators home 🏠",5,Google Play
customer service is very bad .....named mostafa......better to chat or talk with ai than your human tram....absolutly poor service from saudi arabia,1,Google Play
"the new update is so stupid and annoying. you can't swipe through the pictures anymore, you are stuck with whatever picture is in the thumbnail which is so small it's hard to make anything out and you can't click on it to enlarge it. I fact clicking on it just takes you back to the same exact thing. the lay out is to cluttered now with information I don't care that much about. I will no longer be using Amazon until they revert it or come up with a better user interface because this one sucks",1,Google Play
Cant install on Samsung tablet.,1,Google Play
"So I had a scheduled pick up of couple of items for Amazon from this DRAGONFLY today on Feb 19/26 they sent Me an email in the morning and said we're on our way to pick up your package, I waited all day at home and at around 8 o'clock at night i got a text message saying that some Indian guy named DEEPAK will pick up my package and around 9 o'clock I got an email that Deepak tried to pick up packages but couldn't, I was home all day Deepak never called or buzz , so Deepak lied",1,Google Play
having problems with the dim screen control,3,Google Play
"easy to use, trustworthy",5,Google Play
You can get your shopping done if you know what the item details are. The search feature is very inefficient. The site is difficult to use if you are shopping for items and want to compare prices as a details.,3,Google Play
Overpriced tack!,1,Google Play
amazing,5,Google Play
prices are so high on the app,2,Google Play
