commentaire,rating,date,platform
Boom BokiFire,5,2026-01-21 18:20:32,Google Play
Nice,5,2026-01-21 18:17:55,Google Play
The worst app in the Play Store! It's absolute junk! The UI is totally messed up! Notification issues. Meta products suck! Fix this POS!,1,2026-01-21 18:17:40,Google Play
Nice 🙂 friends 😺,4,2026-01-21 18:17:27,Google Play
ভালো,5,2026-01-21 18:17:26,Google Play
நன்று,5,2026-01-21 18:16:57,Google Play
Jay maa laxmi,5,2026-01-21 18:16:47,Google Play
bahut badhiya,1,2026-01-21 18:16:42,Google Play
a problem two weeks ago adult videos coming everytime please 🙏 close this this,5,2026-01-21 18:16:32,Google Play
Good work 👍,4,2026-01-21 18:16:14,Google Play
❤️,4,2026-01-21 18:15:18,Google Play
Good service for world events connection,5,2026-01-21 18:14:23,Google Play
Rohit Kumar ARA JILA INDIA,5,2026-01-21 18:13:58,Google Play
MdRohim,5,2026-01-21 18:13:45,Google Play
good 👍,3,2026-01-21 18:12:43,Google Play
garet app love you❤❤ Facebook,5,2026-01-21 18:11:13,Google Play
ok,5,2026-01-21 18:10:56,Google Play
awesome,5,2026-01-21 18:10:42,Google Play
very nice,4,2026-01-21 18:10:30,Google Play
great,5,2026-01-21 18:10:03,Google Play
थरररर,5,2026-01-21 18:06:36,Google Play
good,1,2026-01-21 18:06:23,Google Play
Mumbai cha Maghi RAJA❤️,5,2026-01-21 18:05:58,Google Play
very good performance,5,2026-01-21 18:05:45,Google Play
nice,1,2026-01-21 18:05:43,Google Play
Facebook is the best,5,2026-01-21 18:05:24,Google Play
govindakumar pakstan,5,2026-01-21 18:05:22,Google Play
cute,5,2026-01-21 18:05:13,Google Play
ok,5,2026-01-21 18:05:09,Google Play
"Facebook star option not showing | Facebook reels star not showing| facebook star button missing Dear Facebook Team, Star monetization option is enabled in my account and I have setup my account but star icon is not showing in my reels video. So Please fix this error as soon as possible.",3,2026-01-21 18:04:22,Google Play
Very Good Social App,5,2026-01-21 18:03:31,Google Play
"Bring back the About page on profile, stop putting it all at the front of profile page",1,2026-01-21 18:03:21,Google Play
nah,5,2026-01-21 18:02:20,Google Play
excellent,5,2026-01-21 18:00:17,Google Play
good 👍,5,2026-01-21 17:59:45,Google Play
good,2,2026-01-21 17:59:19,Google Play
Facebook keeps blocking my features for some crazy reason cant get anyone from support to answer back,1,2026-01-21 17:59:18,Google Play
good,5,2026-01-21 17:58:39,Google Play
nice,5,2026-01-21 17:58:11,Google Play
"I m not your product, f you",1,2026-01-21 17:57:35,Google Play
good,5,2026-01-21 17:57:33,Google Play
Dear Facebook team I am having a problem when I went to open my Facebook account they show we disabled your account please check my problem thank you,5,2026-01-21 17:57:17,Google Play
"When I share post, they do not appear on my page. I try scrolling/refresh page but nothing happens. Please, please help. I'm using an Android phone Motorola RAZR +, again please Help. I've cleared cache and Data but still doesn't work. please Help",4,2026-01-21 17:57:14,Google Play
good,5,2026-01-21 17:57:05,Google Play
Npe update not working my profile 🫤,1,2026-01-21 17:56:53,Google Play
Very interesting,5,2026-01-21 17:56:28,Google Play
I like being able to connect with people but I do not like the new layout. I cant control what is on my personal details when you go on my page unless I delete it entirely where before you could pick what you wanted there. my work experience is scattered and not in order. You are giving people less control over their profiles.,2,2026-01-21 17:55:53,Google Play
I love it working good,5,2026-01-21 17:54:58,Google Play
meta sucks the amount of x rated ads are out of control..2026,2,2026-01-21 17:54:43,Google Play
good,1,2026-01-21 17:53:54,Google Play
Free plastine ❤️,4,2026-01-21 17:53:41,Google Play
hugi semmit sem vàltoztàl,5,2026-01-21 17:53:31,Google Play
good app,5,2026-01-21 17:53:23,Google Play
fast class,5,2026-01-21 17:53:06,Google Play
ok,5,2026-01-21 17:53:02,Google Play
Nice,5,2026-01-21 17:52:52,Google Play
দিনে দিনে প ৃ,3,2026-01-21 17:52:46,Google Play
Jai shree Ram,5,2026-01-21 17:52:10,Google Play
Best app for social media 👍😊,5,2026-01-21 17:52:07,Google Play
A need of hour as Rukn o Din Babbrus,5,2026-01-21 17:51:38,Google Play
The best burgers. Very innovate and delicious food.,5,2026-01-21 17:48:51,Google Play
good,5,2026-01-21 17:48:37,Google Play
congratulations uncle 🎊,5,2026-01-21 17:47:34,Google Play
Forced to run on low resolution when I want it high,3,2026-01-21 17:47:24,Google Play
love this,5,2026-01-21 17:45:56,Google Play
"Still the best Social Media Platform in the Whole World, Salute Mark Zuckerberg. From Bangladesh 🇧🇩",5,2026-01-21 17:45:35,Google Play
he was and still great actor,5,2026-01-21 17:45:13,Google Play
bar bar log out ho raha h,1,2026-01-21 17:43:57,Google Play
Facebook keeps me private and they know how to deal with problematic issues.(like me) thanks Mark!,5,2026-01-21 17:43:39,Google Play
The new layout looks hideous and confusing to the eyes. The page names no longer hides while scrolling through the posts which detracts from the full-screen views. Don't fix anything that is not broken. The previous layout was simple and efficient without showing too many information (i.e. what does that person have in common),1,2026-01-21 17:42:56,Google Play
very nice,5,2026-01-21 17:42:54,Google Play
balen is best,5,2026-01-21 17:41:52,Google Play
Facebook app is my favourite,5,2026-01-21 17:41:39,Google Play
no other app can beat Facebook,5,2026-01-21 17:40:11,Google Play
ok,5,2026-01-21 17:39:27,Google Play
I love this app,5,2026-01-21 17:39:09,Google Play
good service,1,2026-01-21 17:37:57,Google Play
NAIC,2,2026-01-21 17:37:37,Google Play
Thank you.,4,2026-01-21 17:36:58,Google Play
bahit karba,5,2026-01-21 17:36:14,Google Play
PROFILE COVER PHOTO CHANGE IS TERRIBLE. They have shrunken the cover photos on personal pages and it's terrible. why would you shrink the main photo banner and the profile picture? it's ridiculous.,1,2026-01-21 17:34:37,Google Play
nice app but they ban people unnecessarily,4,2026-01-21 17:32:12,Google Play
very very beautiful,5,2026-01-21 17:31:43,Google Play
khairullslam khairullslam rullslam hi hello to hello ..,5,2026-01-21 17:30:38,Google Play
"The app has become unusable to me. I only stuck around for a couple groups for the longest time, but lately it has been drowning my followed groups under a slew of suggested posts and reels. The latest update (that installed without permission btw) added an unwelcome ✨Help me write!✨ AI prompt above every comment I was about to make, suggesting they really don't want human made content on their platform anymore. Uninstalled.",1,2026-01-21 17:30:17,Google Play
I feel that your fb photo collection should not be available without your permission.,1,2026-01-21 17:29:48,Google Play
সাওয়ার এপ খালি আইডি অটো লগআউট হয়ে যাই😡,1,2026-01-21 17:29:47,Google Play
nice app,5,2026-01-21 17:29:35,Google Play
I like it,5,2026-01-21 17:28:38,Google Play
where College option when edit story?,3,2026-01-21 17:28:19,Google Play
good,5,2026-01-21 17:27:50,Google Play
I love Mohammed sawws,5,2026-01-21 17:27:04,Google Play
the best app ever,5,2026-01-21 17:26:43,Google Play
I need my screen broader fir this app on my laptop,5,2026-01-21 17:26:33,Google Play
good,5,2026-01-21 17:26:27,Google Play
Useless total time waste,1,2026-01-21 17:26:11,Google Play
nice,4,2026-01-21 17:26:10,Google Play
Good,5,2026-01-21 17:25:45,Google Play
"The 2026 profile update is terrible; Facebook doesn’t even feel like Facebook anymore. As a long-time user, this is really disappointing. The 2019 layout was the best, but now it just looks like an Instagram clone. If this isn't fixed, I’ll be leaving the platform for good. Thanks.",1,2026-01-21 17:25:38,Google Play
good,5,2026-01-21 17:25:27,Google Play
nice,5,2026-01-21 17:24:56,Google Play
G♥️♥️🤍,1,2026-01-21 17:23:15,Google Play
nice,5,2026-01-21 17:22:51,Google Play
Nice,5,2026-01-21 17:22:32,Google Play
best platform meta,5,2026-01-21 17:22:07,Google Play
perfect app,5,2026-01-21 17:22:03,Google Play
🗺License World And World's www Sha Jore Nasha God +Good World's 🌏🗺 Sha Alam 'Sagor Sagor 'Sha Alam Sagor ' Everytime's Every Year's Good Nice's Com World's 🗺 We Tour's World's Everytime's Good World's 🌏🗺,5,2026-01-21 17:22:00,Google Play
I want my feedback,5,2026-01-21 17:21:21,Google Play
incredible app 👍,2,2026-01-21 17:20:40,Google Play
nice,5,2026-01-21 17:19:56,Google Play
my Facebook is not working,1,2026-01-21 17:19:51,Google Play
love it 😍,5,2026-01-21 17:18:58,Google Play
I still can't comment with Gifs. It keeps saying something went wrong and they are working on it and its been 2 weeks already Updated (1/15/26): It's been month already and still hasn't fixed it. Update again (1/21/26) Still nothing fixed and now certain features isnt working and Facebook says its on theit end and they're fixing and still nothing. This app is become straight garbage with all these bugs,1,2026-01-21 17:18:54,Google Play
Good but try mend the hanging at times it do lag that's all,5,2026-01-21 17:18:28,Google Play
just social,5,2026-01-21 17:17:07,Google Play
very nice 👍,5,2026-01-21 17:16:51,Google Play
exelent,5,2026-01-21 17:16:20,Google Play
গুড,5,2026-01-21 17:16:05,Google Play
My Facebook account has been suspended without any region.,1,2026-01-21 17:15:23,Google Play
asraf ali,5,2026-01-21 17:14:59,Google Play
That is nice,5,2026-01-21 17:14:19,Google Play
very,5,2026-01-21 17:12:49,Google Play
good,5,2026-01-21 17:10:29,Google Play
it has algorithem problems in manny peoople id,1,2026-01-21 17:10:25,Google Play
vary good,5,2026-01-21 17:10:03,Google Play
😘😘😘😘😘😘😘😘😘😘😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😘😘😘😘,5,2026-01-21 17:09:54,Google Play
no dark mode for tablet,1,2026-01-21 17:09:42,Google Play
not bad,3,2026-01-21 17:09:39,Google Play
good apps,5,2026-01-21 17:09:17,Google Play
ok,5,2026-01-21 17:09:03,Google Play
excellent,5,2026-01-21 17:09:02,Google Play
I really need content monetization. profile name..Amit SarKar,5,2026-01-21 17:08:12,Google Play
"I don't like the latest update of Facebook on 21 Jan, this is very boring, we want the old Facebook Version where we can see profiles in the old way, please forward my request to Higher Team, thanks",1,2026-01-21 17:07:31,Google Play
Good,5,2026-01-21 17:06:20,Google Play
very satisfying,5,2026-01-21 17:05:47,Google Play
beautiful ❤️❤️❤️😍😍😍,5,2026-01-21 17:05:37,Google Play
best way to connect with the world... as long as everyone is real.,5,2026-01-21 17:05:21,Google Play
very bad my watch is not seen,1,2026-01-21 17:04:46,Google Play
मई फेस बुक,1,2026-01-21 17:04:18,Google Play
good platform to business an state upadate...good,5,2026-01-21 17:04:08,Google Play
Garg yadav Yada,5,2026-01-21 17:01:51,Google Play
exlent,5,2026-01-21 17:01:21,Google Play
help my account grow,5,2026-01-21 17:00:05,Google Play
good,5,2026-01-21 17:00:00,Google Play
password cen not change always telling acount center don use facebook very bad app now,1,2026-01-21 16:59:47,Google Play
superb hai,5,2026-01-21 16:59:13,Google Play
Good,5,2026-01-21 16:58:51,Google Play
This app allows fake algorithms and more security concernings that mess up with users data,1,2026-01-21 16:58:05,Google Play
"Still the Best Social App! Facebook continues to be a great platform for staying in touch with friends, discovering events, joining groups, and sharing memories.",5,2026-01-21 16:57:12,Google Play
Good,2,2026-01-21 16:56:53,Google Play
good,5,2026-01-21 16:56:00,Google Play
very nice,5,2026-01-21 16:55:46,Google Play
ياريت ينحط نوع الخط الكوفي خيار كتابة,5,2026-01-21 16:54:27,Google Play
Good 😊,5,2026-01-21 16:53:28,Google Play
I am BTS army,5,2026-01-21 16:52:42,Google Play
Ma. Htet,5,2026-01-21 16:52:11,Google Play
great 👍,5,2026-01-21 16:51:51,Google Play
good,5,2026-01-21 16:51:45,Google Play
trash app,1,2026-01-21 16:51:30,Google Play
very good,5,2026-01-21 16:51:30,Google Play
very nice,5,2026-01-21 16:50:42,Google Play
Bhai jaan,5,2026-01-21 16:50:34,Google Play
rr is the laptop and the other ones I.,3,2026-01-21 16:49:57,Google Play
thanks for everyone,5,2026-01-21 16:49:39,Google Play
God Go d,1,2026-01-21 16:49:11,Google Play
fh ਸਤਿ ਸਤਿ ਸਤਿ ਸਤਿ ਦੇ,5,2026-01-21 16:48:54,Google Play
It kills my time.,5,2026-01-21 16:48:04,Google Play
nice,5,2026-01-21 16:47:55,Google Play
For the two and half years look nice,5,2026-01-21 16:47:21,Google Play
"qwer,,,,",5,2026-01-21 16:46:55,Google Play
I I'm faris,4,2026-01-21 16:45:35,Google Play
good service for Facebook 😊,5,2026-01-21 16:44:55,Google Play
Good,5,2026-01-21 16:44:52,Google Play
sucks! changes your settings itself!,1,2026-01-21 16:43:20,Google Play
getting too many adds popping up too much face news that definitely needs to quit and the adds 🙃,1,2026-01-21 16:43:16,Google Play
wasimshaikh,5,2026-01-21 16:42:47,Google Play
kktilpuraprank,5,2026-01-21 16:42:29,Google Play
ok,5,2026-01-21 16:41:55,Google Play
thanks for your effort,5,2026-01-21 16:41:32,Google Play
Please don't install this app totally fraud app 👍,1,2026-01-21 16:40:47,Google Play
Facebook is offline and not working properly for the last 3 weeks and when asking for help you're left with nothing,1,2026-01-21 16:40:41,Google Play
Azizullah,1,2026-01-21 16:40:29,Google Play
thanks Facebook,5,2026-01-21 16:39:27,Google Play
het,2,2026-01-21 16:36:36,Google Play
good plat form app 💕,3,2026-01-21 16:34:39,Google Play
fantastic 😍,5,2026-01-21 16:34:02,Google Play
super cute 😍,1,2026-01-21 16:34:00,Google Play
অনেক সুন্দর,5,2026-01-21 16:33:09,Google Play
support,5,2026-01-21 16:31:57,Google Play
Beautiful and very simple,5,2026-01-21 16:31:16,Google Play
"Was on the decline, now is an utter, ungodly mess of a system and even worse app will completely rubbish content to begin with and most of the times doesn't even work anymore especially on smartphones where the menu no longer loads and requires reinstall and use of a VPN connected to the US to even be able to configure on first use (really a reuse) post reinstall. a true example of something gone to the dogs.",1,2026-01-21 16:31:05,Google Play
🤗🤗🤗🤗🤗🤗🤗🤗🤗,5,2026-01-21 16:30:50,Google Play
good,5,2026-01-21 16:30:35,Google Play
good 👍😊,5,2026-01-21 16:30:27,Google Play
amazing 😍,3,2026-01-21 16:29:30,Google Play
very usefull application,5,2026-01-21 16:28:58,Google Play
Santosh Kumar 🥀,5,2026-01-21 16:28:49,Google Play
"Almost all of my accounts were banned even though I didn't commit any violations, then I created a new account and it was banned again. So worst and poor I'm literally mad 😬😠😡🤬 because of this service i don't have any contact to my family, friends also to my work because all my account was suspended or banned",1,2026-01-21 16:28:13,Google Play
"Why is Facebook so complicated to use now? Stop with these useless updates, you even removed the option to pin music to user's profiles. No wonder I don't use this app that often anymore, it gets worse everyday.",1,2026-01-21 16:27:41,Google Play
good,1,2026-01-21 16:27:24,Google Play
The Best ANYWHERE!!!,5,2026-01-21 16:27:24,Google Play
nice looking,5,2026-01-21 16:27:13,Google Play
very good I really like this app,5,2026-01-21 16:27:01,Google Play
hafe Star ke liye be nahin Hai,1,2026-01-21 16:26:42,Google Play
nice app,5,2026-01-21 16:26:05,Google Play
🥰,5,2026-01-21 16:25:40,Google Play
nice app,5,2026-01-21 16:24:35,Google Play
Good app social,5,2026-01-21 16:24:33,Google Play
good,5,2026-01-21 16:24:10,Google Play
it's so good👍,5,2026-01-21 16:23:54,Google Play
Good....4.9k....budha,5,2026-01-21 16:23:35,Google Play
good 👍,4,2026-01-21 16:23:32,Google Play
good,5,2026-01-21 16:23:22,Google Play
v good 👍,4,2026-01-21 16:22:36,Google Play
Good facebook amazing super,5,2026-01-21 16:21:57,Google Play
Facebook is good for earnings with c.m tool,5,2026-01-21 16:20:52,Google Play
always has issues. now it won't let me like anything. won't tell me if ive done anything but won't let me use any features. I tried everything. ive had facebook my entire life and have never had this happen. I dont comment nasty things. I hardly do anything but lurk. this app is seriously a joke,1,2026-01-21 16:19:28,Google Play
is a very useful app as we can get to connect with our families and friends,5,2026-01-21 16:19:10,Google Play
my favourite family app,5,2026-01-21 16:17:49,Google Play
use full app,5,2026-01-21 16:17:42,Google Play
naice,1,2026-01-21 16:16:46,Google Play
awesome 😍🥰😇🤩,5,2026-01-21 16:16:06,Google Play
excellent 👍,5,2026-01-21 16:15:42,Google Play
good appof,5,2026-01-21 16:15:31,Google Play
good,5,2026-01-21 16:14:48,Google Play
good,1,2026-01-21 16:14:35,Google Play
good 👍😊,2,2026-01-21 16:13:50,Google Play
okay,5,2026-01-21 16:13:24,Google Play
5satar diyela,5,2026-01-21 16:10:10,Google Play
excellent,5,2026-01-21 16:10:00,Google Play
"The only thing Facebook support is animal cruelty. And today I find you've updated my app WITHOUT my permission. less privacy & damn AI garbage everywhe. Worse still someone made a fake account pretending to be me using photos stolen from me. I've been reporting it for a year & it's still there. It completely goes against your guidelines, it's using stolen photos of me & pretending to be me even though it's a male hiding behind this fake profile yet apparently that's ok. Delete it please!!!!!!",1,2026-01-21 16:09:48,Google Play
good,5,2026-01-21 16:09:45,Google Play
good,5,2026-01-21 16:07:09,Google Play
Good,4,2026-01-21 16:05:59,Google Play
Facebook সামাজিক যোগাযোগ মাধ্যম যা ভালোভাবে নিলে ভালো খারাপ ভাবে নিলে খারাপ।,5,2026-01-21 16:04:22,Google Play
good,5,2026-01-21 16:04:19,Google Play
very good 👍,5,2026-01-21 16:03:55,Google Play
Duniya ka sabse ghatiya app,1,2026-01-21 16:03:14,Google Play
Life change App,5,2026-01-21 16:02:29,Google Play
yes,5,2026-01-21 16:00:30,Google Play
good,3,2026-01-21 16:00:05,Google Play
good,5,2026-01-21 15:59:07,Google Play
"Would not allow me to log on no matter how many attempts. Was not able to change password, like I was on a merry go round...and also timing out. So much for using a new tablet with Facebook. Deleted install.....",1,2026-01-21 15:58:53,Google Play
"It's all ads, hardly see my family's and friends' posts, It's all ads. Can't turn off ads, I've selected to have them not shown again but then an ad for the samething shows up but it just has a different actor or is AI so technically it's not the ad I said I didn't want to see but it's for the same things. It's all ads. Has marketing not realized yet the saying of "" Too much of a good thing"" or ""less is more"". It's all ads and ads is all it is.",1,2026-01-21 15:57:28,Google Play
good 😊,5,2026-01-21 15:57:24,Google Play
ARMY LOVE BTS 💜,3,2026-01-21 15:55:39,Google Play
mine account login another device so help me please on 1 September 2023 please now unlock mine account please I need help,1,2026-01-21 15:54:45,Google Play
good👍👍👍👍,5,2026-01-21 15:53:54,Google Play
best appp,5,2026-01-21 15:52:23,Google Play
Nice,5,2026-01-21 15:52:19,Google Play
good,5,2026-01-21 15:51:33,Google Play
app look good,5,2026-01-21 15:51:32,Google Play
Fecebook is the best aplicasion,5,2026-01-21 15:51:31,Google Play
good,2,2026-01-21 15:51:07,Google Play
very nice 👌 video,5,2026-01-21 15:50:24,Google Play
fed up of annoying unwanted pop ups wanting me to rate it,1,2026-01-21 15:50:21,Google Play
👍,5,2026-01-21 15:49:48,Google Play
"Notifications so buggy after the last update, it's time for an exterminator. Fix your app!",2,2026-01-21 15:48:24,Google Play
অনেক ভালো,5,2026-01-21 15:46:37,Google Play
nyc,5,2026-01-21 15:46:28,Google Play
good,5,2026-01-21 15:46:10,Google Play
you suspended my main account even i haven't done anything wrong,1,2026-01-21 15:45:47,Google Play
best app,5,2026-01-21 15:45:46,Google Play
nice platform,4,2026-01-21 15:45:07,Google Play
good,5,2026-01-21 15:44:45,Google Play
"When you report scammers and fake accounts, facebook messages you refusing to remove them. A scammer stole my friend's account. Facebook refused to kick out the scammer and give the account back to my friend for the rest of my friend's life. Ads often go to a black screen so you can't get back tobthe video you were watching. Ad numbers have more than doubked. I hope Zuckerberg's pillow gets hotter every time he flips it.",2,2026-01-21 15:44:33,Google Play
bad,1,2026-01-21 15:43:42,Google Play
good,4,2026-01-21 15:42:48,Google Play
the social media the app of app one of the best of all time Facebook,5,2026-01-21 15:42:06,Google Play
best apps,1,2026-01-21 15:42:03,Google Play
Unsafe for kids,1,2026-01-21 15:41:43,Google Play
امين,5,2026-01-21 15:41:35,Google Play
dil,5,2026-01-21 15:40:40,Google Play
good,5,2026-01-21 15:37:57,Google Play
As char ali,5,2026-01-21 15:37:38,Google Play
খুব সুন্দর এপ,5,2026-01-21 15:36:57,Google Play
"Good apps , easy to use ,good work and very helpful",5,2026-01-21 15:36:26,Google Play
nice App I must say!,5,2026-01-21 15:36:10,Google Play
I like you Facebook,5,2026-01-21 15:36:09,Google Play
👍,1,2026-01-21 15:35:16,Google Play
v good 👍😊,5,2026-01-21 15:35:09,Google Play
Nice app,5,2026-01-21 15:34:03,Google Play
good,3,2026-01-21 15:33:44,Google Play
good,5,2026-01-21 15:33:22,Google Play
Very nice apps,5,2026-01-21 15:33:21,Google Play
nice,5,2026-01-21 15:33:17,Google Play
nice,1,2026-01-21 15:31:53,Google Play
very good,5,2026-01-21 15:30:22,Google Play
excellent,5,2026-01-21 15:30:18,Google Play
best app😊☺️,4,2026-01-21 15:30:00,Google Play
best app,5,2026-01-21 15:28:36,Google Play
"this is not working to me,so did not download this app",1,2026-01-21 15:28:18,Google Play
very good,5,2026-01-21 15:27:37,Google Play
I love this app very good app,5,2026-01-21 15:27:15,Google Play
don't want it don't like it don't use it can't take it off my phone,1,2026-01-21 15:26:26,Google Play
Too many ads and suggestions. I rarely see what my actual friends and family post.,3,2026-01-21 15:26:25,Google Play
Facebook is good platform to social media,5,2026-01-21 15:25:08,Google Play
good,5,2026-01-21 15:25:04,Google Play
this social media platform has become a huge joke,1,2026-01-21 15:24:15,Google Play
good,5,2026-01-21 15:23:32,Google Play
super,5,2026-01-21 15:23:27,Google Play
all goods,5,2026-01-21 15:23:24,Google Play
advice to app for new user don't play romantic content on first day first time because some people some close mind some Big age people are uninstall Facebook app to see this on first time.,5,2026-01-21 15:22:08,Google Play
👍,3,2026-01-21 15:21:05,Google Play
great work fb,5,2026-01-21 15:20:15,Google Play
not working today,3,2026-01-21 15:19:35,Google Play
interesting,5,2026-01-21 15:18:07,Google Play
wow 😲,5,2026-01-21 15:17:02,Google Play
very inconsistent behaviour in the app. bad UX.,1,2026-01-21 15:15:33,Google Play
Facebook is Main,5,2026-01-21 15:14:49,Google Play
why the hell fb is not working properly? why is the id not logging in it saying un expected error occur,1,2026-01-21 15:14:21,Google Play
more data consuming,5,2026-01-21 15:14:16,Google Play
Good,3,2026-01-21 15:13:52,Google Play
انا بحبو جدا,5,2026-01-21 15:13:29,Google Play
still a good app..,4,2026-01-21 15:13:13,Google Play
mantap..,5,2026-01-21 15:13:06,Google Play
Very Bad 😔😔😞 app,2,2026-01-21 15:11:28,Google Play
like,5,2026-01-21 15:11:19,Google Play
salam,5,2026-01-21 15:10:50,Google Play
always interesting and useful in research.,5,2026-01-21 15:10:00,Google Play
a winner,5,2026-01-21 15:09:33,Google Play
सत्य,5,2026-01-21 15:09:26,Google Play
Excellent,5,2026-01-21 15:08:16,Google Play
good,5,2026-01-21 15:08:05,Google Play
very bad app,1,2026-01-21 15:07:57,Google Play
account logout bar bar Ho Raha Hai,1,2026-01-21 15:07:36,Google Play
still has plenty of problems....,3,2026-01-21 15:06:53,Google Play
Facebook is wonderful App 🎉,5,2026-01-21 15:06:38,Google Play
Perfect platform 👍,5,2026-01-21 15:05:07,Google Play
good,3,2026-01-21 15:05:03,Google Play
good,5,2026-01-21 15:04:58,Google Play
i really love it this app,5,2026-01-21 15:04:39,Google Play
very very good,5,2026-01-21 15:03:29,Google Play
nice,1,2026-01-21 15:03:22,Google Play
My friend Facebook,5,2026-01-21 15:03:22,Google Play
Good 😊👍,5,2026-01-21 15:03:11,Google Play
انا غير راضي و اسرتي ايضاً غير راضيين عن التحديث الجديد واللي بيجي بوجها سيئه جداً للبروفايل حاجه فظيعه لا تطاق . وكمان البيانات وحاجات كتير مش ظاهره كما في السابق حاجه مش كويسه غير راضي . رجعوا الوجها زي ماكانت في السابق ف اسرع وقت . كان جميل لكن بقي بشع الان,1,2026-01-21 15:02:34,Google Play
Glitchy performance .,3,2026-01-21 15:02:33,Google Play
good platform for staying connecting with friends,5,2026-01-21 15:01:51,Google Play
good luck,5,2026-01-21 15:01:48,Google Play
ok 👌🆗🆗🆗🆗🆗,5,2026-01-21 15:01:18,Google Play
good,5,2026-01-21 15:01:15,Google Play
best working 👍,5,2026-01-21 15:00:18,Google Play
my account was hacked and all my information was changed and I haven't been able to get in my Facebook account for years because Facebook keeps the wrong number on this account and won't let me change it to the right number and email so no stars here don't use this useless site ever again,1,2026-01-21 14:59:14,Google Play
Experience was really good,5,2026-01-21 14:59:04,Google Play
"when watching live video and turn full screen, it's not fit and damaged",3,2026-01-21 14:59:02,Google Play
you might not allow all the possible links intruders that may cause hack the fb account,3,2026-01-21 14:58:46,Google Play
I don't like the last update . The videos stopped working. .,1,2026-01-21 14:58:29,Google Play
good,5,2026-01-21 14:56:44,Google Play
မရဘူးသေးဘူးဗျ,5,2026-01-21 14:56:32,Google Play
nice 👍,5,2026-01-21 14:56:23,Google Play
good 😊,5,2026-01-21 14:53:21,Google Play
Reels is full of ads. It shows an ads every 2 reels. too much.,1,2026-01-21 14:52:32,Google Play
"too much ad, suggested posts, forcing to save personal info, don't know why I still have the account",1,2026-01-21 14:51:27,Google Play
love,5,2026-01-21 14:49:59,Google Play
хорошо!!!,5,2026-01-21 14:49:26,Google Play
Another enjoyable app to use. wonderful with communication with friends and family. also get that support you need. I recommend other apps that is helpful and useful .,5,2026-01-21 14:49:11,Google Play
nice,5,2026-01-21 14:48:43,Google Play
Facebook is the best media out there.,5,2026-01-21 14:48:11,Google Play
"Facebook খুবই ভালো একটি অ্যাপ। ভিডিও দেখা, রিল আপলোড করা এবং বন্ধুদের সাথে কানেক্ট থাকা অনেক সহজ। নিয়মিত আপডেট পাচ্ছি, একদম ভালো কাজ করছে। আমি নিয়মিত ভিডিও আপলোড করে যাচ্ছি আর যদি আমি মনিটাইজেশন পাই তাহলে আরো আনন্দ পেতাম",5,2026-01-21 14:47:57,Google Play
best app,5,2026-01-21 14:47:54,Google Play
excellent,5,2026-01-21 14:47:41,Google Play
good,5,2026-01-21 14:47:37,Google Play
great,5,2026-01-21 14:46:26,Google Play
❤️,1,2026-01-21 14:46:08,Google Play
good,5,2026-01-21 14:45:32,Google Play
